Title,Type,Score,Score Count,Members,Rank,Popularity,Genres,Authors,Synopsis,Link,Date,Page
Bungou Stray Dogs Wan!,TV,7.97,46603,112433,650,1850,"Comedy, Supernatural","Bones,             Nomad","Atsushi Nakajima has finally grown accustomed to the crazy lifestyle that comes with being part of the Armed Detective Agency. But even during peaceful periods of time, there is bound to be chaos! As Atsushi, his friends, and the agency's rival group—the Port Mafia—go about their days roaming the streets of Yokohama, there are no limits to the strange situations they are unwillingly thrown into. 

A new take on its original work, Bungou Stray Dogs Wan! shows the more mundane yet hilarious aspects of the characters' lives.

[Written by MAL Rewrite]",https://myanimelist.net/anime/42250/Bungou_Stray_Dogs_Wan,18/11/2023,Top Anime
Code Geass: Hangyaku no Lelouch III - Oudou,Movie,7.97,34113,91254,651,2131,"Action, Sci-Fi, Mecha, Military, School, Super Power",Sunrise,"Lelouch Lamperouge's dreams of destroying the Holy Britannian Empire are slowly crumbling. His sister, Nunnally, has been kidnapped by Schneizel el Britannia, and Suzaku Kururugi is ignoring his desperate pleas for assistance. The Black Knights are slowly losing faith in Lelouch as their leader, and the United Federation of Nations has declared global war on Britannia.

Having suffered numerous betrayals, a significant loss of power, and an ever-growing resentment towards Emperor Charles zi Britannia, the crippled Lelouch makes a final decision: if he can't destroy the Empire from the outside, he will take it for himself from within.

[Written by MAL Rewrite]",https://myanimelist.net/anime/34440/Code_Geass__Hangyaku_no_Lelouch_III_-_Oudou,18/11/2023,Top Anime
Doupo Cangqiong 4th Season,ONA,7.97,3360,6750,652,7265,"Action, Adventure, Fantasy, Romance, Supernatural, Martial Arts, Mythology",Motion Magic,"To awaken his teacher Yao Cheng, Xiao Yan travels to the capital for a meeting of the pill masters. His power was immediately noticed, people who wanted to use it, but at the decisive moment Xiao Yan still becomes a champion and defends the honor of the empire. But Xiao Yan is waiting for a meeting, for which he has been preparing for three whole years...",https://myanimelist.net/anime/44412/Doupo_Cangqiong_4th_Season,18/11/2023,Top Anime
Durarara!!x2 Ten,TV,7.97,200248,389851,653,567,"Action, Mystery, Supernatural",Shuka,"In Ikebukuro, the lives of its citizens continue intertwining with each other as if their fates are predestined. Mikado Ryuugamine is now one step closer to his goal of living an exciting life, and in turn, delves deeper into the darker side of Ikebukuro. After gaining absolute control over a former rival, he uses his newfound power as he pleases, purging the Dollars from the inside to mold it into the ideal organization. This proves to be as challenging as it sounds as Mikado must now deal with unwanted outside interference, most notably a re-emerging and dearly missed friend. Meanwhile, Izaya Orihara still has some schemes up his sleeve, although a rival information exchange center has proven to be quite the hindrance, lurking within everyone's favorite downtown district. Undoubtedly, sooner or later, chaos will strike again.

[Written by MAL Rewrite]",https://myanimelist.net/anime/27831/Durararax2_Ten,18/11/2023,Top Anime
Eve no Jikan (Movie),Movie,7.97,55677,123555,654,1719,"Sci-Fi, Slice of Life",Studio Rikka,"In the Japan of the future, employing androids for various purposes is nothing out of the ordinary. However, treating androids on the same level as humans is frowned upon, and there is constant paranoia surrounding the possibility of robots defying humans, their masters. Those who appear too trustworthy of their androids are chided and labeled ""dori-kei,"" or ""android-holics.""

High school student Rikuo Sakisaka notices when his house droid, Sammy, starts behaving curiously—she has been leaving the house without his instruction. When he inspects the movement logs in her database, a cryptic line grabs his attention: ""Are you enjoying the time of EVE?"" Accompanied by his friend Masakazu Masaki, Rikuo tracks the whereabouts of his houseroid to a cafe called Time of Eve, where it is forbidden for customers to display prejudice against one another. The cafe, Rikuo realizes, is frequented by both man and machine, with no evidence to tell either apart.

Each customer—from the cheerful Akiko, to a robot dangerously close to breaking down—has their own story and challenges to overcome. While Rikuo tries to reveal Sammy's intentions, he begins to question the legitimacy of the fear that drives humans to regard androids as nothing more than mere tools.

[Written by MAL Rewrite]",https://myanimelist.net/anime/7465/Eve_no_Jikan_Movie,18/11/2023,Top Anime
Haibane Renmei,TV,7.97,99827,279978,655,833,"Drama, Fantasy, Mystery, Psychological",Radix,"Born from a cocoon in the village of Old Home, a young Haibane—a being with a halo and small gray wings—awakens to a world she does not understand without memories of her past. Named Rakka for the dream of falling she had while inside the cocoon, she soon becomes accustomed to life in the strange town. However, there are strict rules for the Haibane, such as being forbidden to leave the village or go near the walls surrounding it. These, along with mysterious disappearances of their kind on their ""Day of Flight,"" begin to unsettle Rakka and the others since they know almost nothing about their own kind.

Haibane Renmei tells not only Rakka's story but also of those around her, as they live their lives with no memories of the past while trying to break free from their former pain and ultimately find salvation.

[Written by MAL Rewrite]",https://myanimelist.net/anime/387/Haibane_Renmei,18/11/2023,Top Anime
High Score Girl: Extra Stage,OVA,7.97,45656,72883,656,2438,"Comedy, Love Polygon, Romantic Subtext, School, Video Game, Seinen",J.C.Staff,"Four years after they first met, Haruo Yaguchi , Akira Oono, and Koharu Hidaka remain the best of friends. Tensions start to build up as Akira's teacher, Gouda Moemi, becomes stricter than ever before, and Hidaka develops feelings for Haruo. Though he may not be the most composed and thoughtful person around, he has within him the one thing that started it all: his unconditional love for video games.

[Written by MAL Rewrite]",https://myanimelist.net/anime/38422/High_Score_Girl__Extra_Stage,18/11/2023,Top Anime
Aria the Benedizione,Movie,7.96,2340,7199,657,7093,"Fantasy, Sci-Fi, Slice of Life, Iyashikei, Shounen",J.C.Staff,"The successor and branch manager of the Himeya Company—one of the many Undine associations housing female gondoliers—Aika S. Granzchesta surprises everyone when she rejects tradition and refuses to inherit the company's legendary gondola. Aika's apprentice Azusa B. McLaren, unable to wrap her mind around her mentor's unexpected decision, confronts her directly but to little effect. To better understand her reasoning, Azusa and her fellow Undines secretly plan to arrange a meeting with Aika.

With the much-awaited winter days in sight, accompanied by the tranquility and sublimity of Neo-Venezia, Aika reminisces about her journey as an Undine that forged her into the person she is today. As she vividly remembers all those invaluable experiences of the past, she trusts they will continue to guide her into the unknown yet boundless future.

[Written by MAL Rewrite]",https://myanimelist.net/anime/48411/Aria_the_Benedizione,18/11/2023,Top Anime
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,Special,7.96,9739,21435,658,4569,"Comedy, Slice of Life, Iyashikei, Shounen",Hal Film Maker,"Special episode based on manga Navigation 39 entitled ""The Secret Place"". Its action takes place between episodes 5 and 6 of Aria the Origination.

Akari and President Aria take a walk in the eastern part of Neo-Venezia. The are spotted by Akatsuki, who follows them to try to greet Akari. They eventually end up at St Mark's Basilica, where Akari has a secret place, which is discovered by Akatsuki, Aika, and Alice. 

(Source: Wikipedia)",https://myanimelist.net/anime/4772/Aria_the_Origination__Sono_Choppiri_Himitsu_no_Basho_ni,18/11/2023,Top Anime
Dragon Ball,TV,7.96,654126,1012899,659,148,"Action, Adventure, Comedy, Fantasy, Martial Arts, Super Power, Shounen",Toei Animation,"Gokuu Son is a young boy who lives in the woods all alone—that is, until a girl named Bulma runs into him in her search for a set of magical objects called the ""Dragon Balls."" Since the artifacts are said to grant one wish to whoever collects all seven, Bulma hopes to gather them and wish for a perfect boyfriend. Gokuu happens to be in possession of a dragon ball, but unfortunately for Bulma, he refuses to part ways with it, so she makes him a deal: he can tag along on her journey if he lets her borrow the dragon ball's power. With that, the two set off on the journey of a lifetime.

They don't go on the journey alone. On the way, they meet the old Muten-Roshi and wannabe disciple Kuririn, with whom Gokuu trains to become a stronger martial artist for the upcoming World Martial Arts Tournament. However, it's not all fun and games; the ability to make any wish come true is a powerful one, and there are others who would do much worse than just wishing for a boyfriend. To stop those who would try to abuse the legendary power, they train to become stronger fighters, using their newfound strength to help the people around them along the way.

[Written by MAL Rewrite]",https://myanimelist.net/anime/223/Dragon_Ball,18/11/2023,Top Anime
High Score Girl II,TV,7.96,78190,133664,660,1615,"Comedy, Love Polygon, Romantic Subtext, School, Video Game, Seinen",J.C.Staff,"The year is 1996, and second-year high school students Haruo Yaguchi, Akira Oono, and Koharu Hidaka live their lives as passionately about video games as they were five years ago. Brought together by arcade games, what began as a healthy rivalry and friendship has turned into something more. As they endeavour towards understanding their unfamiliar feelings, they work with allies, navigate high school, and find that, although life has its many challenges, there's always a game or two they can rely on.

[Written by MAL Rewrite]",https://myanimelist.net/anime/39570/High_Score_Girl_II,18/11/2023,Top Anime
Hokuto no Ken,TV,7.96,43907,128976,661,1670,"Action, Drama, Sci-Fi, Gore, Martial Arts, Super Power, Shounen",Toei Animation,"In the year 19XX, after being betrayed and left for dead, bravehearted warrior Kenshirou wanders a post-apocalyptic wasteland on a quest to track down his rival, Shin, who has kidnapped his beloved fiancée Yuria. During his journey, Kenshirou makes use of his deadly fighting form, Hokuto Shinken, to defend the helpless from bloodthirsty ravagers. It isn't long before his exploits begin to attract the attention of greater enemies, like warlords and rival martial artists, and Kenshirou finds himself involved with more than he originally bargained for.

Faced with ever-increasing odds, the successor of Hokuto Shinken is forced to put his skills to the test in an effort to take back what he cares for most. And as these new challenges present themselves and the battle against injustice intensifies, namely his conflict with Shin and the rest of the Nanto Seiken school of martial arts, Kenshirou is gradually transformed into the savior of an irradiated and violent world.

[Written by MAL Rewrite]",https://myanimelist.net/anime/967/Hokuto_no_Ken,18/11/2023,Top Anime
IDOLiSH7 Vibrato,ONA,7.96,5813,15260,662,5241,"Drama, Idols (Male), Music",TROYCA,"On a cold night, idol group TRIGGER reunite at a bar to celebrate the anniversary of the day they started working together. Two years prior, Ryuunosuke Tsunashi leaves his Okinawan home and heads to Tokyo, hoping to become an idol and pay off his father's debt. While waiting for the manager, he is instead picked up by Gaku Yaotome—son of Yaotome Productions' CEO and Ryuunosuke's future co-worker—and they go to meet the mysterious Ten Kujou, the last member of the group.

Gaku wants to confront Ten, as he is dubious of Ten's position as the center of the group. Fortunately, with Ryuunosuke's help, the three of them are able to hit it off, and thus TRIGGER is born. However, there still remain obstacles they have to overcome before their rise to fame.

In the present day, their rivals IDOLiSH7 also have their own set of problems. From planning what to do on their free days to resolving a long-lasting dispute, they are ready to work together and face these problems head-on.

[Written by MAL Rewrite]",https://myanimelist.net/anime/36963/IDOLiSH7_Vibrato,18/11/2023,Top Anime
Tennis no Oujisama: Zenkoku Taikai-hen - Final,OVA,7.96,19250,35755,663,3608,"Sports, Shounen",M.S.C,"After their victory over Shitenhouji Middle School in the semifinals, Ryouma Echizen and the Seishun Academy Boys Tennis Team must now face off against the two-time defending champions of Rikkai University-Affiliated Middle School in order to claim the national title. Rikkai is not only seeking revenge for its team's previous loss to Seishun at the Kanto Regional Tournament, but they also are aiming to win the national title for a third consecutive year.

In the conclusion of Tennis no Oujisama, the titular ""Prince of Tennis"" is pitted against the ""Child of God"" in a head-to-head battle for the national championship title. Along the way, Ryouma must teach his opponents and teammates that there is more to tennis than winning.

[Written by MAL Rewrite]",https://myanimelist.net/anime/4053/Tennis_no_Oujisama__Zenkoku_Taikai-hen_-_Final,18/11/2023,Top Anime
Tokyo Revengers,TV,7.96,660932,1202852,664,110,"Action, Drama, Supernatural, Delinquents, Time Travel, Shounen",LIDENFILMS,"Takemichi Hanagaki's second year of middle school was the highest point in his life. He had respect, a gang of friends he could count on, and even a girlfriend. But that was twelve years ago. Today, he's a nobody: a washed-up nonentity made fun of by children and always forced to apologize to his younger boss. A sudden news report on the Tokyo Manji Gang's cruel murder of the only girlfriend he ever had alongside her brother only adds insult to injury. Half a second before a train ends his pitiful life for good, Takemichi flashes back to that same day 12 years ago, when he was still dating Hinata Tachibana.

After being forced to relive the very same day that began his downward spiral, Takemichi meets Hinata's younger brother. Without thinking, he admits to his seeming death before flashing back to the past. Takemichi urges him to protect his sister before inexplicably returning to the future. Miraculously, he is not dead. Stranger still, the future has changed. It seems as though Takemichi can alter the flow of time. Given the chance to prevent his ex-girlfriend's tragic death at the hands of the Tokyo Manji Gang, Takemichi decides to fly through time to change the course of the future.

[Written by MAL Rewrite]",https://myanimelist.net/anime/42249/Tokyo_Revengers,18/11/2023,Top Anime
Working!!!,TV,7.96,126829,244880,665,950,"Comedy, Romance, Workplace, Seinen",A-1 Pictures,"As the stories of those connected to Wagnaria come to a close, only one thing is certain: the workplace is about to get crazier than ever before! Whether it be incredibly awkward romances, relentless searches for lost relatives, or even uncomfortable family reunions, lover of all things cute and tiny Souta Takanashi and his motley crew have plenty on their plates. With more Napoleon complexes, androphobia, and katana-wielding than you can shake a frying pan at, Working!!! delivers a final serving of the staff's hilarious misadventures working at everybody's favorite family restaurant.

[Written by MAL Rewrite]",https://myanimelist.net/anime/25879/Working,18/11/2023,Top Anime
Youjo Senki,TV,7.96,487668,893579,666,182,"Action, Fantasy, Isekai, Military, Reincarnation",Nut,"Tanya Degurechaff is a young soldier infamous for predatorial-like ruthlessness and an uncanny, tactical aptitude, earning her the nickname of the ""Devil of the Rhine."" Underneath her innocuous appearance, however, lies the soul of a man who challenged Being X, the self-proclaimed God, to a battle of wits—which resulted in him being reincarnated as a little girl into a world of magical warfare. Hellbent on defiance, Tanya resolves to ascend the ranks of her country's military as it slowly plunges into world war, with only Being X proving to be the strongest obstacle in recreating the peaceful life she once knew. But her perceptive actions and combat initiative have an unintended side effect: propelling the mighty Empire into becoming one of the most powerful nations in mankind's history.

[Written by MAL Rewrite]",https://myanimelist.net/anime/32615/Youjo_Senki,18/11/2023,Top Anime
Kidou Senshi Gundam: Suisei no Majo Season 2,TV,7.96,41320,78365,667,2338,"Action, Sci-Fi, Mecha, School, Space",Sunrise,"After surviving a brutal terrorist attack on Plant Quetta, Suletta Mercury returns to dueling at the Asticassia School of Technology, while Miorine Rembran sits at her injured father's side, waiting to see if he will recover. As the residents of Earth House are preoccupied with their respective troubles, two members of Dawn of Fold—the perpetrators of the attack—secretly infiltrate the school, putting Suletta and her friends at risk.

At the same time, Prospera, Suletta's mother, approaches Miorine to propose the continuation of ""Quiet Zero""—a project headed by Miorine's father that can allegedly end all war. Prospera seems to be another political figure with hidden, opposing motives, and whether she truly has Suletta's well-being at heart remains to be seen.

[Written by MAL Rewrite]",https://myanimelist.net/anime/53199/Kidou_Senshi_Gundam__Suisei_no_Majo_Season_2,18/11/2023,Top Anime
Major Movie: Yuujou no Winning Shot,Movie,7.96,11252,20344,668,4683,"Action, Sports, Team Sports, Shounen",Xebec,"Goro briefly returns to Japan after a triumphant campaign in the US. He is heading towards Fukuoka where he played baseball when he was a fifth grader. Having just moved into a new town, this is where Goro faced a critical point in his life. 

(Source: ANN)",https://myanimelist.net/anime/5029/Major_Movie__Yuujou_no_Winning_Shot,18/11/2023,Top Anime
Nagi no Asu kara,TV,7.96,253082,593541,669,351,"Drama, Fantasy, Romance, Love Polygon",P.A. Works,"Long ago, all humans lived beneath the sea. However, some people preferred the surface and abandoned living underwater permanently. As a consequence, they were stripped of their god-given protection called ""Ena"" which allowed them to breathe underwater. Over time, the rift between the denizens of the sea and of the surface widened, although contact between the two peoples still existed.

Nagi no Asu kara follows the story of Hikari Sakishima and Manaka Mukaido, along with their childhood friends Chisaki Hiradaira and Kaname Isaki, who are forced to leave the sea and attend a school on the surface. There, the group also meets Tsumugu Kihara, a fellow student and fisherman who loves the sea.

Hikari and his friends' lives are bound to change as they have to deal with the deep-seated hatred and discrimination between the people of sea and of the surface, the storms in their personal lives, as well as an impending tempest which may spell doom for all who dwell on the surface.

[Written by MAL Rewrite]",https://myanimelist.net/anime/16067/Nagi_no_Asu_kara,18/11/2023,Top Anime
Kanon (2006),TV,7.95,135359,268042,670,866,"Drama, Romance, Supernatural",Kyoto Animation,"As a young child, Aizawa Yuuichi had often visited his cousin in the city; however, something drastic happened to keep him away for seven long years. Now, Yuuichi returns, his memories of those days are simply gone.

Settling into the wintry town, Yuuichi comes across several young girls, all of whom are connected to his past. As he befriends them and continues to interact with them, the long forgotten memories from his childhood begin to resurface...

[Written by MAL Rewrite]",https://myanimelist.net/anime/1530/Kanon_2006,18/11/2023,Top Anime
Kobato.,TV,7.95,61066,164975,671,1376,"Comedy, Drama, Fantasy, Romance",Madhouse,"The friendly and sincere Kobato Hanato has a wish to go to a particular place no matter what. To fulfill this desire, she is tasked with helping people in their times of distress. For each mended broken heart, a small candy-like fragment is produced and fills a special bottle. Once the bottle is full, her wish will be granted.

As Kobato carries out her mission alongside her stuffed toy companion, Ioryogi, she encounters various people troubled by their different situations. From a child struggling with his parents, a high school girl troubled about romance, and everything in between, Kobato's naturally sweet smile and outgoing personality are ready to brighten their day!

[Written by MAL Rewrite]",https://myanimelist.net/anime/5678/Kobato,18/11/2023,Top Anime
Kobayashi-san Chi no Maid Dragon,TV,7.95,728853,1207325,672,108,"Fantasy, Slice of Life",Kyoto Animation,"As Kobayashi sets off for another day at work, she opens her apartment door only to be met by an unusually frightening sight—the head of a dragon, staring at her from across the balcony. The dragon immediately transforms into a cute, busty, and energetic young girl dressed in a maid outfit, introducing herself as Tooru.

It turns out that the stoic programmer had come across the dragon the previous night on a drunken excursion to the mountains, and since the mythical beast had nowhere else to go, she had offered the creature a place to stay in her home. Thus, Tooru had arrived to cash in on the offer, ready to repay her savior's kindness by working as her personal maidservant. Though deeply regretful of her words and hesitant to follow through on her promise, a mix of guilt and Tooru's incredible dragon abilities convinces Kobayashi to take the girl in.

Despite being extremely efficient at her job, the maid's unorthodox methods of housekeeping often end up horrifying Kobayashi and at times bring more trouble than help. Furthermore, the circumstances behind the dragon's arrival on Earth seem to be much more complicated than at first glance, as Tooru bears some heavy emotions and painful memories. To top it all off, Tooru's presence ends up attracting several other mythical beings to her new home, bringing in a host of eccentric personalities. Although Kobayashi makes her best effort to handle the crazy situation that she has found herself in, nothing has prepared her for this new life with a dragon maid.

[Written by MAL Rewrite]",https://myanimelist.net/anime/33206/Kobayashi-san_Chi_no_Maid_Dragon,18/11/2023,Top Anime
Kurenai no Buta,Movie,7.95,153036,242397,673,959,"Action, Adventure, Award Winning, Comedy, Drama, Romance, Historical, Military",Studio Ghibli,"After a curse turned him into a pig, World War I ace Marco Pagot becomes Porco Rosso, a mysterious bounty hunter who takes down sky pirates in the Adriatic Sea. He whiles away his days on a secluded island, rarely leaving other than to collect bounties or to visit the beautiful Gina, a songstress and owner of the Hotel Adriano.

One day, while traveling to fix his faulty engine, Porco Rosso is gunned down by a young American hotshot named Donald Curtis. Thrilled at the possibility of fame, Donald boldly declares that the flying pig is dead. Not wanting to disappoint Gina, Porco Rosso flees to the famous Piccolo S.P.A. airplane company and takes out a massive loan in order to repair and improve his fighter plane. There, he is surprised to find that the chief engineer of Piccolo S.P.A. is the 17-year-old Fio Piccolo, who hungers for a chance to prove herself. With Fio's improvements, Porco Rosso prepares to challenge Donald officially and regain his honor.

[Written by MAL Rewrite]",https://myanimelist.net/anime/416/Kurenai_no_Buta,18/11/2023,Top Anime
Love Live! Superstar!!,TV,7.95,25279,66758,674,2575,"Slice of Life, Idols (Female), Music, School",Sunrise,"Everyone has a dream they strive to achieve, and so does the musically talented Kanon Shibuya. However, due to her stage fright, Kanon fails to make it into Yuigaoka Girls' High School's music program and instead ends up in the general curriculum. Even though Kanon makes the conscious decision to quit music altogether, her classmate Tang Keke rekindles Kanon's passion for music with her own: a passion for school idols.

Although Keke and Kanon try to form a school idol group, their effort meets strong objections from Ren Hazuki, the daughter of the school's director. Even so, the girls soon visit the director, who allows them to set up their school idol club under one condition—they must win first place at the Yoyogi School Idol Festival.

The resilience of these aspiring idols is put to the test as they face the challenges that come their way. Throughout their journey, the girls make new friends and meet new members that join them to become the dazzling idols others can only imagine.

[Written by MAL Rewrite]",https://myanimelist.net/anime/41169/Love_Live_Superstar,18/11/2023,Top Anime
Noragami,TV,7.95,1248113,2118390,675,27,"Action, Fantasy, Mythology, Shounen",Bones,"In times of need, if you look in the right place, you just may see a strange telephone number scrawled in red. If you call this number, you will hear a young man introduce himself as the Yato God.

Yato is a minor deity and a self-proclaimed ""Delivery God,"" who dreams of having millions of worshippers. Without a single shrine dedicated to his name, however, his goals are far from being realized. He spends his days doing odd jobs for five yen apiece, until his weapon partner becomes fed up with her useless master and deserts him.

Just as things seem to be looking grim for the god, his fortune changes when a middle school girl, Hiyori Iki, supposedly saves Yato from a car accident, taking the hit for him. Remarkably, she survives, but the event has caused her soul to become loose and hence able to leave her body. Hiyori demands that Yato return her to normal, but upon learning that he needs a new partner to do so, reluctantly agrees to help him find one. And with Hiyori's help, Yato's luck may finally be turning around.

[Written by MAL Rewrite]",https://myanimelist.net/anime/20507/Noragami,18/11/2023,Top Anime
Sakasama no Patema,Movie,7.95,132391,285232,676,821,"Adventure, Award Winning, Sci-Fi","Studio Rikka,             Purple Cow Studio Japan","Patema is a plucky young girl from an underground civilization boasting an incredible network of tunnels. Inspired by a friend that mysteriously went missing, she is often reprimanded due to her constant excursions of these tunnels due to her royal status. After she enters what is known as the ""forbidden zone,"" she accidentally falls into a giant bottomless pit after being startled by a strange creature.

Finding herself on the surface, a world literally turned upside down, she begins falling towards the sky only to be saved by Age, a discontented student of the totalitarian nation known as Aiga. The people of Aiga are taught to believe that ""Inverts,"" like Patema, are sinners that will be ""swallowed by the sky,"" but Age has resisted this propaganda and decides to protect his new friend. A chance meeting between two curious teenagers leads to an exploration of two unique worlds as they begin working together to unveil the secrets of their origins in Sakasama no Patema, a heart-warming film about overcoming differences in order to coexist.

[Written by MAL Rewrite]",https://myanimelist.net/anime/12477/Sakasama_no_Patema,18/11/2023,Top Anime
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,TV,7.95,421899,706128,677,274,"Gourmet, Ecchi, School, Shounen",J.C.Staff,"A dark age of cooking befalls Tootsuki Culinary Academy. With the Elite Ten's devastating coup d'état, Azami Nakiri is now the director of the prestigious school. Students must now conform to Azami's ideology of ""true gourmet food"" and are forbidden to express creativity, or else face expulsion.

However, Souma Yukihira and the members of the Polar Star Dormitory refuse to accept these changes. Aided by other rebellious first-years, including the tenth seat, Erina Nakiri, Souma and his allies band together to fight off supporters of Azami's regime. But corrupt instructors and the menacing Central organization stand in their way, and so they must work together, harder than ever before, to survive every underhanded plot designed to banish them from the school.

[Written by MAL Rewrite]",https://myanimelist.net/anime/36949/Shokugeki_no_Souma__San_no_Sara_-_Tootsuki_Ressha-hen,18/11/2023,Top Anime
Bishoujo Senshi Sailor Moon: Sailor Stars,TV,7.95,55886,111163,678,1869,"Adventure, Comedy, Drama, Fantasy, Romance, Mahou Shoujo, Shoujo",Toei Animation,"Like the R Season, Sailor Stars is divided into two arcs:

The first arc (also filler) solves some conflicts from the SuperS season, and also sees the return of the Outer Senshi, Haruka, Michiru, Setsuna, and Hotaru (now reborn as a child).

The second arc is the actual plot from the manga. Usagi bids farewell to Mamoru, who is going to America to study abroad. In his place comes the Three Lights, an idol trio consisting of three boys, Seiya, Taiki, and Yaten. The new enemy is Galaxia, a woman who desires to rule the entire galaxy by collecting the Star Seeds of humans. Three new Senshi appear, the Sailor Starlights, who also intend to stop Galaxia without Sailor Moon's help.",https://myanimelist.net/anime/996/Bishoujo_Senshi_Sailor_Moon__Sailor_Stars,18/11/2023,Top Anime
Girls & Panzer: Saishuushou Part 1,Movie,7.95,22107,47275,679,3102,"CGDCT, Military, School",Actas,"Rumor has it that Momo Kawashima, former student council member at Ooarai Girls Academy, is bound to repeat a year. Having failed her university entry exams, she is far from spending another year at Ooarai, but her plight is unenviable nevertheless.

The only way for her to gain admission into a university is to be granted an athletic scholarship. With the Winter Continuous Track Cup rapidly approaching, Momo becomes the commander of Ooarai's tankery team, so as to demonstrate her sport skills and wipe away the stain on her honor.

Their first opponent—French-themed BC Freedom High School—is split into two factions that are constantly at odds with each other. Despite this seemingly fortuitous match against a disorganized rival, Ooarai might soon find itself taking one step too far.

[Written by MAL Rewrite]",https://myanimelist.net/anime/33970/Girls___Panzer__Saishuushou_Part_1,18/11/2023,Top Anime
Tekkon Kinkreet,Movie,7.95,43766,109954,680,1883,"Action, Adventure, Award Winning, Supernatural, Psychological",Studio 4°C,"The streets of Treasure Town are said to belong to ""The Cats."" They know everything that goes on in the city, and no one can stir up trouble without going through them first. In reality, The Cats are a pair of orphan boys called Black and White, who aren’t afraid of anything or anyone. 

But their rule of the streets is challenged when the Yakuza come to town and start making changes. The wild Black and the carefree White have no one to rely on but themselves to get their Treasure Town back to the way it was. But their bond is tested as they quickly realize going back to how things were may no longer be an option.

[Written by MAL Rewrite]",https://myanimelist.net/anime/2154/Tekkon_Kinkreet,18/11/2023,Top Anime
Tokyo Revengers: Tenjiku-hen,TV,7.95,13901,126481,681,1691,"Action, Drama, Supernatural, Delinquents, Time Travel, Shounen",LIDENFILMS,Third season of Tokyo Revengers.,https://myanimelist.net/anime/54918/Tokyo_Revengers__Tenjiku-hen,18/11/2023,Top Anime
Wotaku ni Koi wa Muzukashii OVA,OVA,7.95,100362,201120,682,1148,"Romance, Adult Cast, Otaku Culture, Workplace","A-1 Pictures,             Lapin Track","Tarou Kabakura, a third-year high school student and captain of the boys' volleyball team, is constantly being harassed by his underclassman Hanako Koyanagi, who is in charge of the girls' team. Koyanagi insists that since the girls have a match coming up, Kabakura should give up the courts to let them practice. When he refuses, she pulls out photographic evidence exposing his secret hobby.

With the danger of his entire team finding out about his otaku interests looming over him, Kabakura agrees to hand over the volleyball courts to Koyanagi, giving her some private coaching as well. As the two grow closer, they begin to forge an everlasting bond.

[Written by MAL Rewrite]

Third OVA—covering the ""employee trip"" chapter(s) from the sixth tankouban volume—will be bundled with the special edition of the 11th and final volume of the manga which ships on October 14, 2021.

(Source: MAL News, edited)",https://myanimelist.net/anime/38349/Wotaku_ni_Koi_wa_Muzukashii_OVA,18/11/2023,Top Anime
Takarajima,TV,7.94,6787,19942,683,4723,"Adventure, Drama, Mystery, Historical",Tokyo Movie Shinsha,"Jim Hawkins is a young boy lead by progressive events to embark on a search journey for the legendary treasure of the once dreaded pirate, Captain Flint. On their way to Treasure Island, John Silver, Jim's best friend, take over command of the ship revealing his true self as the ruthless pirate who once was the right hand of Flint himself. Feeling betrayed, Jim now has to deal with his mixed feelings and face Silver who still consider himself and Jim as friends. 

(Source: ANN)",https://myanimelist.net/anime/2618/Takarajima,18/11/2023,Top Anime
Undead Unluck,TV,7.94,19232,151468,684,1471,"Action, Comedy, Supernatural, Super Power, Shounen",David Production,"After reading the conclusion of her favorite manga series, Fuuko Izumo finally feels ready to end her existence. For the past 10 years, Fuuko has been afflicted by a condition that brings extreme misfortune to anyone who touches her. This has had a drastic effect on her surroundings, even inadvertently resulting in the deaths of those around her—including her parents.

As she stands on a bridge above train tracks, Fuuko is touched by a strange man, causing the footing underneath him to break and dropping him in front of an oncoming train. However, when Fuuko finds the man's corpse, she discovers that his body is regenerating and that he is coming back to life.

The man, whom Fuuko names Andy, is immortal—and like her, he also wishes for death. Initially dismissive, Fuuko eventually decides to team up with Andy to give him the best death possible; but a mysterious organization lurks in the shadows, hoping to take advantage of the duo's bizarre abilities.

[Written by MAL Rewrite]",https://myanimelist.net/anime/52741/Undead_Unluck,18/11/2023,Top Anime
Wotaku ni Koi wa Muzukashii,TV,7.94,510467,956223,685,158,"Romance, Adult Cast, Otaku Culture, Workplace",A-1 Pictures,"Having slept through all four of her alarms, the energetic Narumi Momose finds herself running late for her first day of work at a new office. As she races to catch her train, she makes a promise to herself that none of her coworkers will find out about her dark secret: that she is an otaku and a fujoshi. Her plan goes instantly awry, though, when she runs into Hirotaka Nifuji, an old friend from middle school. Although she tries to keep her secret by inviting him out for drinks after work, her cover is blown when he casually asks her whether or not she will be attending the upcoming Summer Comiket. Luckily for her, the only witnesses—Hanako Koyanagi and Tarou Kabakura—are otaku as well.

Later that night, the pair go out for drinks so that they can catch up after all the years apart. After Narumi complains about her previous boyfriend breaking up with her because he refused to date a fujoshi, Hirotaka suggests that she try dating a fellow otaku, specifically himself. He makes a solemn promise to always be there for her, to support her, and to help her farm for rare drops in Monster Hunter. Blown away by the proposal, Narumi agrees immediately. Thus the two otaku start dating, and their adorably awkward romance begins.

[Written by MAL Rewrite]",https://myanimelist.net/anime/35968/Wotaku_ni_Koi_wa_Muzukashii,18/11/2023,Top Anime
